CSVData,  libfabric, 12, 64, max_level, 9, grids, 36201, Total, 26.5554, Computation, 24.6944, Regrid, 1.48931, Compare Analytics, 0.00402568, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 128, max_level, 9, grids, 36201, Total, 20.8446, Computation, 19.4625, Regrid, 0.882106, Compare Analytics, 0.00702594, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 1024, max_level, 10, grids, 47753, Total, 7.44059, Computation, 4.5115, Regrid, 0.909199, Compare Analytics, 0.0429445, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 512, max_level, 8, grids, 9097, Total, 3.6173, Computation, 2.78343, Regrid, 0.464524, Compare Analytics, 0.0258063, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 128, max_level, 7, grids, 2857, Total, 3.38716, Computation, 2.70285, Regrid, 0.353327, Compare Analytics, 0.0286661, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 256, max_level, 9, grids, 36201, Total, 10.0336, Computation, 8.71843, Regrid, 0.526463, Compare Analytics, 0.00218071, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 512, max_level, 10, grids, 47753, Total, 7.64739, Computation, 6.6248, Regrid, 0.62393, Compare Analytics, 0.00223271, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 1024, max_level, 7, grids, 2857, Total, 5.09001, Computation, 3.18349, Regrid, 1.20088, Compare Analytics, 0.133725, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 64, max_level, 11, grids, 276617, Total, 187.794, Computation, 176.81, Regrid, 10.0748, Compare Analytics, 0.0158109, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 512, max_level, 10, grids, 47753, Total, 11.5624, Computation, 9.65422, Regrid, 1.02405, Compare Analytics, 0.00366116, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 256, max_level, 10, grids, 47753, Total, 16.5947, Computation, 15.4864, Regrid, 0.788695, Compare Analytics, 0.00645208, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 64, max_level, 12, grids, 1931881, Total, 1813.02, Computation, 1774.49, Regrid, 32.4255, Compare Analytics, 1.32238, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 128, max_level, 11, grids, 276617, Total, 125.847, Computation, 119.675, Regrid, 5.50648, Compare Analytics, 0.0700461, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 32, max_level, 10, grids, 47753, Total, 77.1453, Computation, 74.0377, Regrid, 2.56723, Compare Analytics, 0.0794066, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 1024, max_level, 7, grids, 2857, Total, 5.90354, Computation, 2.74978, Regrid, 1.60104, Compare Analytics, 0.209203, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 128, max_level, 8, grids, 9097, Total, 8.03784, Computation, 7.16865, Regrid, 0.604063, Compare Analytics, 0.00239403, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 1024, max_level, 9, grids, 36201, Total, 6.6892, Computation, 4.70255, Regrid, 0.994394, Compare Analytics, 0.0618084, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 1024, max_level, 11, grids, 276617, Total, 25.7014, Computation, 22.8407, Regrid, 1.64879, Compare Analytics, 0.214487, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 1024, max_level, 10, grids, 47753, Total, 8.57271, Computation, 6.90126, Regrid, 0.870097, Compare Analytics, 0.0303475, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 64, max_level, 11, grids, 276617, Total, 235.669, Computation, 225.604, Regrid, 9.06378, Compare Analytics, 0.182142, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 256, max_level, 8, grids, 9097, Total, 5.72961, Computation, 4.97751, Regrid, 0.490499, Compare Analytics, 0.00221455, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 64, max_level, 10, grids, 47753, Total, 45.1968, Computation, 43.193, Regrid, 1.68032, Compare Analytics, 0.0252523, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 256, max_level, 8, grids, 9097, Total, 4.43179, Computation, 3.38954, Regrid, 0.389305, Compare Analytics, 0.00166196, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 1024, max_level, 11, grids, 276617, Total, 18.5393, Computation, 16.6185, Regrid, 1.11752, Compare Analytics, 0.0383753, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 64, max_level, 12, grids, 1931881, Total, 1359.52, Computation, 1309.36, Regrid, 47.0748, Compare Analytics, 0.0995654, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 32, max_level, 7, grids, 2857, Total, 5.45529, Computation, 4.90097, Regrid, 0.386934, Compare Analytics, 0.0015597, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 32, max_level, 11, grids, 276617, Total, 360.02, Computation, 343.763, Regrid, 14.1645, Compare Analytics, 0.02574, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 256, max_level, 12, grids, 1931881, Total, 489.282, Computation, 467.871, Regrid, 19.4663, Compare Analytics, 0.366092, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 128, max_level, 9, grids, 36201, Total, 15.5283, Computation, 14.578, Regrid, 0.744731, Compare Analytics, 0.00262947, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 64, max_level, 9, grids, 36201, Total, 32.5698, Computation, 30.7892, Regrid, 1.49772, Compare Analytics, 0.0168157, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 256, max_level, 7, grids, 2857, Total, 4.58351, Computation, 3.07775, Regrid, 1.12491, Compare Analytics, 0.0438536, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 64, max_level, 8, grids, 9097, Total, 11.5505, Computation, 10.6318, Regrid, 0.541898, Compare Analytics, 0.00293615, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 1024, max_level, 9, grids, 36201, Total, 9.00072, Computation, 6.55531, Regrid, 1.29652, Compare Analytics, 0.05844, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 256, max_level, 11, grids, 276617, Total, 68.8745, Computation, 65.2642, Regrid, 3.11706, Compare Analytics, 0.0452332, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 256, max_level, 9, grids, 36201, Total, 12.9945, Computation, 12.045, Regrid, 0.667462, Compare Analytics, 0.00408805, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 512, max_level, 9, grids, 36201, Total, 6.11161, Computation, 5.1853, Regrid, 0.50627, Compare Analytics, 0.00306372, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 1024, max_level, 12, grids, 1931881, Total, 99.4918, Computation, 91.7525, Regrid, 6.73123, Compare Analytics, 0.0535247, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 32, max_level, 8, grids, 9097, Total, 17.8281, Computation, 16.864, Regrid, 0.664949, Compare Analytics, 0.00533304, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 128, max_level, 10, grids, 47753, Total, 25.9441, Computation, 24.4252, Regrid, 1.22713, Compare Analytics, 0.0115812, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 128, max_level, 8, grids, 9097, Total, 5.78779, Computation, 4.73238, Regrid, 0.410817, Compare Analytics, 0.00175951, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 1024, max_level, 13, grids, 14512009, Total, 1094.7, Computation, 1060.87, Regrid, 29.9729, Compare Analytics, 1.13205, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 32, max_level, 8, grids, 9097, Total, 14.0979, Computation, 13.2199, Regrid, 0.587398, Compare Analytics, 0.00233067, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 512, max_level, 8, grids, 9097, Total, 5.26486, Computation, 3.82837, Regrid, 1.0191, Compare Analytics, 0.0527545, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 512, max_level, 13, grids, 14512009, Total, 2133.17, Computation, 2084.23, Regrid, 42.1888, Compare Analytics, 2.05687, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 32, max_level, 9, grids, 36201, Total, 48.0291, Computation, 44.8532, Regrid, 2.48315, Compare Analytics, 0.00458846, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 128, max_level, 12, grids, 1931881, Total, 929.543, Computation, 898.462, Regrid, 27.8857, Compare Analytics, 0.9208, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 512, max_level, 11, grids, 276617, Total, 31.097, Computation, 28.4169, Regrid, 2.19005, Compare Analytics, 0.00420089, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 32, max_level, 9, grids, 36201, Total, 63.5769, Computation, 60.2096, Regrid, 2.92725, Compare Analytics, 0.0376097, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 64, max_level, 8, grids, 9097, Total, 8.35445, Computation, 7.75904, Regrid, 0.369437, Compare Analytics, 0.00165389, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 64, max_level, 7, grids, 2857, Total, 3.62235, Computation, 3.22906, Regrid, 0.207734, Compare Analytics, 0.0015037, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 32, max_level, 11, grids, 276617, Total, 445.152, Computation, 436.061, Regrid, 7.23852, Compare Analytics, 0.280866, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 512, max_level, 11, grids, 276617, Total, 42.1, Computation, 38.9683, Regrid, 2.09286, Compare Analytics, 0.0363912, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 512, max_level, 9, grids, 36201, Total, 9.05232, Computation, 7.91331, Regrid, 0.732343, Compare Analytics, 0.00265, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 1024, max_level, 8, grids, 9097, Total, 6.77802, Computation, 3.72825, Regrid, 1.63117, Compare Analytics, 0.145541, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 512, max_level, 12, grids, 1931881, Total, 259.594, Computation, 245.166, Regrid, 12.9747, Compare Analytics, 0.236755, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 32, max_level, 7, grids, 2857, Total, 7.21074, Computation, 6.64286, Regrid, 0.336594, Compare Analytics, 0.00204311, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 32, max_level, 10, grids, 47753, Total, 64.0554, Computation, 60.6076, Regrid, 2.88686, Compare Analytics, 0.00715649, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 128, max_level, 10, grids, 47753, Total, 20.8054, Computation, 19.4937, Regrid, 1.06825, Compare Analytics, 0.00251863, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 128, max_level, 11, grids, 276617, Total, 101.667, Computation, 95.5095, Regrid, 5.08201, Compare Analytics, 0.0110375, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 128, max_level, 7, grids, 2857, Total, 4.71376, Computation, 3.65413, Regrid, 0.865458, Compare Analytics, 0.0213527, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 1024, max_level, 12, grids, 1931881, Total, 135.22, Computation, 126.226, Regrid, 7.53015, Compare Analytics, 0.574922, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 512, max_level, 7, grids, 2857, Total, 4.71238, Computation, 2.89975, Regrid, 1.01691, Compare Analytics, 0.104919, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 256, max_level, 7, grids, 2857, Total, 3.09652, Computation, 2.30822, Regrid, 0.493457, Compare Analytics, 0.0653677, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 64, max_level, 10, grids, 47753, Total, 36.3861, Computation, 34.5379, Regrid, 1.52185, Compare Analytics, 0.00445163, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 256, max_level, 11, grids, 276617, Total, 55.7777, Computation, 51.679, Regrid, 3.10511, Compare Analytics, 0.00784294, Find Localities, 0, coalesce, 1
CSVData,        mpi, 12, 64, max_level, 7, grids, 2857, Total, 5.6634, Computation, 5.09578, Regrid, 0.368612, Compare Analytics, 0.00187413, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 1024, max_level, 8, grids, 9097, Total, 4.93165, Computation, 2.86799, Regrid, 1.11253, Compare Analytics, 0.16753, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 512, max_level, 7, grids, 2857, Total, 3.45653, Computation, 2.36856, Regrid, 0.724219, Compare Analytics, 0.0909758, Find Localities, 0, coalesce, 1
CSVData,  libfabric, 12, 64, max_level, 9, grids, 36201, Total, 25.8152, Computation, 24.2088, Regrid, 1.3672, Compare Analytics, 0.00321146, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 128, max_level, 9, grids, 36201, Total, 20.7256, Computation, 19.5196, Regrid, 0.956934, Compare Analytics, 0.00975519, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 1024, max_level, 10, grids, 47753, Total, 6.57993, Computation, 4.57564, Regrid, 0.923529, Compare Analytics, 0.0307852, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 512, max_level, 8, grids, 9097, Total, 3.69738, Computation, 2.85579, Regrid, 0.390808, Compare Analytics, 0.0280472, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 128, max_level, 7, grids, 2857, Total, 3.05374, Computation, 2.50331, Regrid, 0.310584, Compare Analytics, 0.0203676, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 256, max_level, 9, grids, 36201, Total, 9.41956, Computation, 8.61787, Regrid, 0.55848, Compare Analytics, 0.00231502, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 256, max_level, 10, grids, 47753, Total, 11.9603, Computation, 11.099, Regrid, 0.592957, Compare Analytics, 0.00276582, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 512, max_level, 10, grids, 47753, Total, 7.42438, Computation, 6.47634, Regrid, 0.573886, Compare Analytics, 0.00207078, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 1024, max_level, 7, grids, 2857, Total, 5.90497, Computation, 3.24253, Regrid, 1.29329, Compare Analytics, 0.1214, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 2048, max_level, 10, grids, 47753, Total, 9.16804, Computation, 5.86619, Regrid, 1.66374, Compare Analytics, 0.212106, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 64, max_level, 11, grids, 276617, Total, 189.548, Computation, 179.912, Regrid, 8.85602, Compare Analytics, 0.016936, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 512, max_level, 10, grids, 47753, Total, 10.8985, Computation, 9.71873, Regrid, 0.779017, Compare Analytics, 0.00323027, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 256, max_level, 10, grids, 47753, Total, 16.0946, Computation, 15.0653, Regrid, 0.768838, Compare Analytics, 0.00588802, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 2048, max_level, 9, grids, 36201, Total, 8.78499, Computation, 4.12081, Regrid, 1.97462, Compare Analytics, 0.299148, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 64, max_level, 12, grids, 1931881, Total, 1747.51, Computation, 1711.06, Regrid, 30.8974, Compare Analytics, 1.47067, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 128, max_level, 11, grids, 276617, Total, 124.044, Computation, 117.99, Regrid, 5.4517, Compare Analytics, 0.0786873, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 32, max_level, 10, grids, 47753, Total, 74.9418, Computation, 71.9554, Regrid, 2.53798, Compare Analytics, 0.0473799, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 1024, max_level, 7, grids, 2857, Total, 4.92627, Computation, 2.60217, Regrid, 1.34818, Compare Analytics, 0.139054, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 2048, max_level, 7, grids, 2857, Total, 5.77744, Computation, 2.88926, Regrid, 2.0137, Compare Analytics, 0.200592, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 128, max_level, 8, grids, 9097, Total, 7.79503, Computation, 7.0505, Regrid, 0.503912, Compare Analytics, 0.00226117, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 1024, max_level, 9, grids, 36201, Total, 5.911, Computation, 4.01821, Regrid, 0.695813, Compare Analytics, 0.043997, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 1024, max_level, 11, grids, 276617, Total, 26.3129, Computation, 23.4777, Regrid, 1.54316, Compare Analytics, 0.071978, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 1024, max_level, 10, grids, 47753, Total, 10.6469, Computation, 7.60413, Regrid, 0.934413, Compare Analytics, 0.126409, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 256, max_level, 12, grids, 1931881, Total, 348.852, Computation, 330.905, Regrid, 15.8958, Compare Analytics, 0.0324958, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 64, max_level, 11, grids, 276617, Total, 238.389, Computation, 229.472, Regrid, 7.94613, Compare Analytics, 0.167085, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 256, max_level, 8, grids, 9097, Total, 5.83958, Computation, 4.99155, Regrid, 0.435014, Compare Analytics, 0.00202743, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 64, max_level, 10, grids, 47753, Total, 45.1304, Computation, 43.1112, Regrid, 1.67725, Compare Analytics, 0.0261201, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 256, max_level, 8, grids, 9097, Total, 4.26048, Computation, 3.45623, Regrid, 0.305474, Compare Analytics, 0.00254213, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 64, max_level, 12, grids, 1931881, Total, 1422.04, Computation, 1370.63, Regrid, 48.2036, Compare Analytics, 0.122843, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 32, max_level, 7, grids, 2857, Total, 5.69767, Computation, 4.86704, Regrid, 0.668751, Compare Analytics, 0.00125451, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 32, max_level, 11, grids, 276617, Total, 357.582, Computation, 342.081, Regrid, 13.7943, Compare Analytics, 0.0310492, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 256, max_level, 12, grids, 1931881, Total, 465.884, Computation, 444.16, Regrid, 20.0749, Compare Analytics, 0.444755, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 128, max_level, 9, grids, 36201, Total, 15.6044, Computation, 14.5128, Regrid, 0.78746, Compare Analytics, 0.00219565, Find Localities, 0, coalesce, 0
